quarter,ticker,sector,value_score,quality_score,piotroski_f,momentum_pct,f_gate_fired,momentum_gate_fired,revenue_gate_fired,raw_classification,final_classification,gate_message
2024-03-31,TSCO,Consumer Discretionary,98.3,83.3,7,45.3,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2024-03-31,SMCI,Information Technology,97.1,78.7,8,100.0,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2024-03-31,DECK,Consumer Discretionary,98.4,77.7,7,97.9,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2024-03-31,TPR,Consumer Discretionary,90.3,80.4,8,48.7,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2024-03-31,CVS,Health Care,87.9,82.0,7,36.1,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2024-03-31,MOH,Unknown,85.0,82.9,8,85.3,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2024-03-31,CTAS,Industrials,87.7,77.8,8,76.8,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2024-03-31,FAST,Industrials,78.4,83.9,7,78.2,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2024-03-31,UNH,Health Care,75.7,86.0,7,39.5,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2024-03-31,JNJ,Health Care,82.4,78.4,7,42.4,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2024-03-31,MAS,Industrials,78.4,76.1,8,91.1,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2024-06-30,TSCO,Consumer Discretionary,97.6,83.2,7,80.0,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2024-06-30,SMCI,Information Technology,97.4,78.8,8,99.7,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2024-06-30,MOH,Unknown,92.2,83.1,8,38.2,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2024-06-30,NVDA,Information Technology,90.8,83.3,8,99.5,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2024-06-30,TPR,Consumer Discretionary,91.0,80.2,8,39.2,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2024-06-30,FAST,Industrials,84.4,83.9,7,57.9,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2024-06-30,RL,Consumer Discretionary,79.4,83.0,8,91.8,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2024-06-30,CTAS,Industrials,84.4,77.4,8,83.4,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2024-06-30,MAS,Industrials,81.8,75.8,8,71.6,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2024-09-30,TSCO,Consumer Discretionary,97.1,83.6,7,63.0,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2024-09-30,NVDA,Information Technology,92.4,83.5,8,100.0,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2024-09-30,CTAS,Industrials,89.0,80.5,8,91.6,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2024-09-30,FAST,Industrials,81.8,83.7,7,56.2,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2024-09-30,RL,Consumer Discretionary,77.8,83.2,8,82.2,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2024-09-30,JNJ,Health Care,80.8,78.5,7,27.0,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2024-09-30,MAS,Industrials,77.0,75.8,8,83.5,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2024-12-31,TSCO,Consumer Discretionary,97.8,83.5,7,74.2,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2024-12-31,NVDA,Information Technology,89.3,83.5,8,99.2,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2024-12-31,CTAS,Industrials,90.2,80.2,8,87.2,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2024-12-31,FAST,Industrials,79.6,83.9,7,71.8,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2024-12-31,JNJ,Health Care,82.7,78.6,7,25.8,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2024-12-31,MAS,Industrials,79.6,75.7,8,58.7,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
2025-03-31,NVDA,Information Technology,95.8,82.2,8,89.3,False,False,False,RESEARCH CANDIDATE,RESEARCH CANDIDATE,
